X,Y0,Y1,Y2
2013,13.86,0.29,2.56
2013,13.97,0.29,2.58
2013,14.18,0.29,2.63
2013,14.37,0.29,2.65
2013,14.64,0.29,2.67
2013,14.83,0.29,2.61
2013,14.75,0.29,2.59
2013,14.48,0.29,2.6
2013,14.42,0.29,2.58
2013,14.37,0.3,2.57
2013,14.15,0.29,2.62
2013,13.99,0.3,2.64
2013,13.73,0.29,2.49
2013,13.81,0.29,2.43
2013,13.91,0.29,2.45
2013,13.8,0.29,2.33
2013,13.83,0.29,2.36
2013,13.69,0.3,2.41
2013,13.4,0.3,2.34
2013,13.09,0.3,2.39
2013,13.3,0.3,2.46
2013,13.31,0.3,2.53
2013,13.21,0.3,2.58
2013,13.31,0.3,2.63
2013,13.42,0.3,2.63
2013,13.42,0.3,2.63
2013,13.28,0.3,2.63
2013,13.29,0.3,2.59
2013,13.58,0.3,2.44
2013,13.99,0.29,2.4
2013,14.09,0.29,2.37
2013,13.99,0.29,2.4
2013,14.0,0.29,2.47
2013,14.13,0.29,2.45
2013,14.37,0.29,2.57
2013,14.24,0.29,2.55
2013,13.97,0.3,2.56
2013,13.81,0.3,2.55
2013,13.56,0.3,3.11
2013,13.39,0.29,3.03
2013,13.37,0.29,2.9
2013,13.3,0.29,2.82
2013,12.99,0.29,2.8
2013,13.07,0.29,2.84
2013,13.1,0.3,2.79
2013,13.36,0.3,2.8
2013,13.39,0.3,2.97
2013,13.27,0.31,3.01
2013,13.08,0.3,2.92
2013,13.04,0.3,3.08
2013,12.86,0.3,3.06
2013,12.41,0.3,3.17
2013,12.22,0.29,3.33
2013,12.3,0.29,3.35
2013,12.48,0.3,3.53
2013,12.69,0.31,3.4
2013,12.65,0.31,3.49
2013,12.8,0.31,3.58
2013,13.26,0.32,3.67
2013,13.61,0.32,3.88
2013,13.6,0.32,3.73
2013,13.71,0.32,3.68
2013,13.86,0.32,3.76
2013,14.13,0.32,3.98
2013,14.24,0.32,4.16
2013,14.23,0.32,3.88
2013,14.25,0.32,5.05
2013,14.15,0.34,5.4
2013,14.09,0.34,5.87
2013,14.01,0.34,6.47
2013,13.57,0.34,5.79
2013,13.47,0.34,6.33
2013,13.54,0.35,6.3
2013,13.72,0.35,6.17
2013,13.71,0.35,6.0
2013,13.8,0.35,6.06
2013,13.73,0.34,6.2
2013,13.71,0.34,6.53
2013,13.88,0.34,7.38
2013,13.77,0.34,7.66
2013,13.99,0.34,7.3
2013,14.07,0.34,7.1
2013,13.92,0.34,6.51
2013,13.98,0.35,6.43
2013,13.87,0.34,6.53
2013,13.76,0.34,6.62
2013,13.64,0.34,6.86
2013,13.82,0.34,6.83
2013,13.63,0.34,6.58
2013,13.58,0.34,6.7
2013,13.45,0.34,6.62
2013,13.43,0.34,6.83
2013,13.41,0.34,6.98
2013,13.38,0.34,6.93
2013,13.28,0.36,7.11
2013,13.11,0.34,7.14
2013,12.92,0.34,6.91
2013,12.58,0.34,6.86
2013,12.55,0.33,6.95
2013,12.46,0.34,7.06
2013,12.35,0.33,7.35
2013,12.32,0.33,7.3
2013,12.69,0.33,7.85
2013,12.98,0.33,8.13
2013,13.02,0.33,7.95
2013,13.03,0.33,8.02
2013,12.96,0.33,8.15
2013,13.03,0.33,8.35
2013,13.07,0.34,8.22
2013,13.18,0.34,8.41
2013,13.23,0.34,8.66
2013,13.28,0.34,8.88
2013,13.25,0.34,8.42
2013,13.3,0.34,8.11
2013,13.38,0.34,8.18
2013,13.36,0.34,8.04
2013,13.23,0.34,8.45
2013,13.14,0.34,8.37
2013,13.68,0.34,8.3
2013,13.58,0.34,8.32
2013,13.57,0.33,8.71
2013,13.85,0.33,9.02
2013,14.07,0.34,9.17
2013,14.07,0.34,9.0
2013,14.06,0.34,9.1
2013,14.24,0.35,9.22
2013,14.48,0.35,9.66
2013,14.52,0.35,9.72
2013,14.37,0.34,9.46
2013,14.38,0.34,10.59
2013,14.26,0.34,10.4
2013,14.52,0.34,10.03
2013,15.32,0.34,9.99
2013,15.62,0.35,9.66
2013,15.56,0.36,9.57
2013,15.58,0.36,9.59
2013,15.91,0.35,9.83
2013,15.82,0.35,9.99
2013,15.71,0.35,10.02
2013,15.66,0.35,10.5
2013,15.59,0.35,10.82
2013,15.8,0.35,11.53
2013,15.57,0.35,11.25
2013,15.36,0.35,11.43
2013,15.38,0.35,11.18
2013,15.27,0.35,11.28
2013,15.51,0.35,11.58
2013,15.56,0.35,11.44
2013,15.51,0.35,11.43
2013,15.47,0.35,11.31
2013,15.73,0.35,10.97
2013,15.72,0.36,11.17
2013,14.67,0.37,11.19
2013,14.73,0.37,11.12
2013,14.62,0.37,11.09
2013,14.3,0.38,11.39
2013,14.24,0.38,11.23
2013,14.45,0.38,11.16
2013,14.74,0.38,12.03
2013,14.82,0.38,12.39
2013,15.39,0.37,12.37
2013,15.35,0.37,12.33
2013,15.17,0.37,12.42
2013,15.13,0.37,12.65
2013,15.01,0.37,12.75
2013,14.92,0.37,12.97
2013,15.15,0.37,12.95
2013,15.23,0.37,12.79
2013,15.25,0.37,11.98
2013,15.01,0.37,12.08
2013,15.26,0.37,12.45
2013,15.2,0.37,12.4
2013,15.11,0.37,11.67
2013,15.25,0.36,11.72
2013,15.3,0.36,11.95
2013,15.41,0.36,12.17
2013,15.55,0.37,12.59
2013,15.57,0.37,12.49
2013,15.64,0.37,12.32
2013,15.78,0.37,12.4
2013,16.24,0.38,12.23
2013,16.37,0.37,11.85
2013,16.28,0.37,11.45
2013,16.49,0.37,11.63
2013,16.52,0.36,11.63
2013,16.45,0.36,11.37
2013,16.7,0.36,11.03
2013,16.34,0.36,11.18
2013,16.34,0.36,10.83
2013,16.26,0.36,11.06
2013,16.32,0.36,11.69
2013,16.38,0.35,12.1
2013,16.35,0.35,10.72
2013,16.3,0.35,9.71
2013,16.24,0.37,9.37
2013,16.25,0.37,9.69
2013,16.32,0.37,9.65
2013,16.27,0.38,9.49
2013,16.49,0.38,9.36
2013,16.49,0.38,9.2
2013,16.43,0.37,9.03
2013,16.31,0.37,8.6
2013,16.22,0.37,8.5
2013,16.24,0.36,8.32
2013,16.27,0.36,8.18
2013,16.38,0.37,8.39
2013,16.7,0.37,8.18
2013,17.01,0.37,8.46
2013,17.4,0.37,8.71
2013,17.58,0.37,8.57
2013,17.65,0.38,9.66
2013,17.73,0.38,9.63
2013,17.92,0.38,9.56
2013,17.66,0.37,9.5
2013,17.75,0.37,9.45
2013,17.69,0.37,9.72
2013,17.79,0.37,9.54
2013,17.61,0.36,9.88
2013,17.54,0.36,10.12
2013,17.53,0.36,10.03
2013,17.43,0.36,10.31
2013,17.18,0.36,10.33
2013,17.14,0.36,9.8
2013,17.19,0.37,9.62
2013,17.78,0.38,9.75
2013,17.82,0.37,10.33
2013,17.74,0.38,10.53
2013,17.59,0.37,10.37
2013,17.45,0.38,10.32
2013,17.49,0.38,10.21
2014,17.36,0.38,10.17
2014,17.25,0.38,10.15
2014,17.04,0.38,10.03
2014,17.01,0.38,10.03
2014,17.0,0.39,10.25
2014,17.04,0.38,10.23
2014,16.85,0.38,9.93
2014,16.9,0.37,9.8
2014,17.03,0.37,10.8
2014,17.45,0.38,11.48
2014,17.35,0.38,11.51
2014,17.2,0.38,11.55
2014,17.14,0.38,11.82
2014,17.36,0.38,12.02
2014,17.34,0.38,12.16
2014,17.31,0.37,12.03
2014,17.29,0.37,11.86
2014,16.05,0.37,11.93
2014,15.81,0.37,11.94
2014,15.78,0.37,12.32
2014,15.63,0.37,12.4
2014,15.82,0.37,12.33
2014,15.87,0.37,12.11
2014,16.05,0.37,12.04
2014,16.1,0.37,12.01
2014,16.39,0.37,12.44
2014,16.67,0.38,13.29
2014,16.86,0.38,13.48
2014,16.91,0.4,13.22
2014,17.08,0.41,13.51
2014,17.11,0.42,13.46
2014,17.28,0.42,13.73
2014,17.14,0.43,13.58
2014,16.83,0.44,14.35
2014,16.76,0.45,14.27
2014,16.61,0.45,14.56
2014,16.6,0.45,17.28
2014,16.46,0.45,17.67
2014,16.57,0.45,17.46
2014,16.7,0.44,16.85
2014,16.63,0.43,16.78
2014,16.7,0.44,17.33
2014,16.76,0.44,17.13
2014,16.75,0.44,17.17
